NÚMERO E ANO DO REQUERIMENTO,PORTARIA DE AUTORIZAÇÃO,DENOMINAÇÃO SOCIAL DA EMPRESA,CNPJ,MARCAS,DOMÍNIOS
0046/2025,"SPA/MF nº 469, de 10 de março de 2026",GORILLAS GROUP DO BRASIL LTDA,37.456.039/0001-29,BET BUFFALOS,betbuffalos.bet.br
0046/2026,"SPA/MF nº 469, de 10 de março de 2027",GORILLAS GROUP DO BRASIL LTDA,37.456.039/0001-30,BET FALCONS,betfalcons.bet.br
0047/2024,"SPA/MF nº 523, de 14 de março de 2025",EA ENTRETENIMENTO E ESPORTES LTDA,53.570.592/0001-43,BATEU BET,bateu.bet.br
0047/2025,"SPA/MF nº 523, de 14 de março de 2026",EA ENTRETENIMENTO E ESPORTES LTDA,53.570.592/0001-44,HANZBET,hanz.bet.br
0047/2026,"SPA/MF nº 523, de 14 de março de 2027",EA ENTRETENIMENTO E ESPORTES LTDA,53.570.592/0001-45,ESPORTIVA BET,esportiva.bet.br
0049/2024,"SPA/MF nº 470, de 10 de março de 2025",TRACK GAMING BRASIL LTDA,56.706.701/0001-03,BETWARRIOR,betwarrior.bet.br
0050/2024,"SPA/MF nº 260, de 07 de fevereiro de 2025",SORTENABET GAMING BRASIL S.A.,54.989.030/0001-00,SORTENABET,sortenabet.bet.br
0050/2025,"SPA/MF nº 260, de 07 de fevereiro de 2026",SORTENABET GAMING BRASIL S.A.,54.989.030/0001-01,BETOU,betou.bet.br
0050/2026,"SPA/MF nº 260, de 07 de fevereiro de 2027",SORTENABET GAMING BRASIL S.A.,54.989.030/0001-02,BETFUSION,betfusion.bet.br
0051/2024,"SPA/MF nº 270, de 10 de fevereiro de 2025",BELL VENTURES DIGITAL LTDA,56.638.458/0001-25,BANDBET,bandbet.bet.br
0052/2024,"SPA/MF nº 261, de 07 de fevereiro de 2025",BRILLIANT GAMING LTDA,56.259.060/0001-88,AFUN,afun.bet.br
0052/2025,"SPA/MF nº 261, de 07 de fevereiro de 2026",BRILLIANT GAMING LTDA,56.259.060/0001-89,AI,ai.bet.br
0052/2026,"SPA/MF nº 261, de 07 de fevereiro de 2027",BRILLIANT GAMING LTDA,56.259.060/0001-90,6Z,6z.bet.br
0053/2024,"SPA/MF nº 471, de 10 de março de 2025",FOGGO ENTERTAINMENT LTDA,56.431.248/0001-61,BLAZE,blaze.bet.br
0053/2025,"SPA/MF nº 471, de 10 de março de 2026",FOGGO ENTERTAINMENT LTDA,56.431.248/0001-62,JONBET,jonbet.bet.br
0054/2024,"SPA/MF nº 322, de 17 de fevereiro de 2025
(Alterada pela Portaria SPA/MF nº 1.056, de 14 de maio de 2025)",ANA GAMING BRASIL S.A.,55.933.850/0001-34,7K,7k.bet.br
0054/2025,"SPA/MF nº 322, de 17 de fevereiro de 2025
(Alterada pela Portaria SPA/MF nº 1.056, de 14 de maio de 2025)",ANA GAMING BRASIL S.A.,55.933.850/0001-35,CASSINO,cassino.bet.br
0054/2026,"SPA/MF nº 322, de 17 de fevereiro de 2025
(Alterada pela Portaria SPA/MF nº 1.056, de 14 de maio de 2025)",ANA GAMING BRASIL S.A.,55.933.850/0001-36,VERA,vera.bet.br
0055/2024,"SPA/MF nº 1.344, de 18 de junho de 2025
",TQJ-PAR PARTICIPAÇÕES SOCIETÁRIAS S.A.,55.238.676/0001-00,BAÚ BINGO,bau.bet.br
0055/2025,"SPA/MF nº 1.344, de 18 de junho de 2025
",TQJ-PAR PARTICIPAÇÕES SOCIETÁRIAS S.A.,55.238.676/0001-01,TELE SENA BET,telesena.bet.br
0055/2026,"SPA/MF nº 1.344, de 18 de junho de 2025
",TQJ-PAR PARTICIPAÇÕES SOCIETÁRIAS S.A.,55.238.676/0001-02,BET DO MILHÃO,milhao.bet.br
0056/2024,"SPA/MF nº 844, de 17 de abril de 2025
(Alterada pela Portaria SPA/MF nº 975, de 06 de maio de 2025 e pela Portaria SPA/MF nº 1.176, de 29 de maio de 2025)",7MBR LTDA,56.442.917/0001-09,VERTBET,vert.bet.br
0056/2025,"SPA/MF nº 844, de 17 de abril de 2025
(Alterada pela Portaria SPA/MF nº 975, de 06 de maio de 2025 e pela Portaria SPA/MF nº 1.176, de 29 de maio de 2025)",7MBR LTDA,56.442.917/0001-10,CGG,cgg.bet.br
